cellId,timePeriodId,productId,value
5ea8b3ba04c2848f52ab5e20d54658de,p1,5e20663dadd1e483ac628951dd582ea8,1.0
944094de5c91980a3cc9c61e9f807f34,p1,5e20663dadd1e483ac628951dd582ea8,1.0
cf595d4848c64f438f219904e50d1d30,p1,8de55a2e5745f73de25402626a4c3d61,1.0
93715d8aaad56d3f44c53a031b06625c,p1,8868fae7afbf71557a2e4faceeb9d9d6,1.0
9188c2f8139c37ec848a4c4f21604600,p1,5e20663dadd1e483ac628951dd582ea8,1.0
7bbab18cf6c969f789545d708704161c,p1,8d58541932d2a351e43b513238af1995,1.0
cc3eae72eb9a20ee5695a3756661f98d,p1,8d58541932d2a351e43b513238af1995,1.0
75dc480cab983c6ab7c3cd2814384e6f,p1,0820c98363e0f5974994e421c8007a63,1.0
61d6315d9a2da1b2b668c8f95ad56338,p1,8d58541932d2a351e43b513238af1995,1.0
4d37fdd1e3102240675ccd4b22fc23b8,p1,8d58541932d2a351e43b513238af1995,1.0
7a729f0a762abddf7f0274764b75712a,p1,da87b816a7fb4b711a4fb85c885e5d7b,1.0
e19c091631fb74c1f6c0b91ff63dea01,p1,da87b816a7fb4b711a4fb85c885e5d7b,1.0
869d53bb2e5748b5b13873c409284616,p1,1ed278d16b2f07e35c750af3c47b1193,1.0
b3088d855e7e6760096709a182f82adf,p1,da87b816a7fb4b711a4fb85c885e5d7b,1.0
34b3ae81969a20817a7631d7b174a879,p1,4c43bcc5d844e48a4bc65fd9a78a0611,1.0
950f78f6407d1bea426b9379e651ae85,p1,4c43bcc5d844e48a4bc65fd9a78a0611,1.0
f2819fe15e5435423fa921eb76981387,p1,4c43bcc5d844e48a4bc65fd9a78a0611,1.0
1ef0d181ec48ebde0655303e2ea9dd1b,p1,4c43bcc5d844e48a4bc65fd9a78a0611,1.0
f80cce6288455bbea96596ab57b522c8,p1,4c43bcc5d844e48a4bc65fd9a78a0611,1.0
34b3ae81969a20817a7631d7b174a879,p2,ebffaedfc7c118b8f04a2645bb0004d7,1.0
950f78f6407d1bea426b9379e651ae85,p2,d2e7fae0f6922733bc70a0963f6276af,1.0
f2819fe15e5435423fa921eb76981387,p2,de62ab6bd6c2bf1fc7768e0be1eaa5e7,1.0
1ef0d181ec48ebde0655303e2ea9dd1b,p2,ebffaedfc7c118b8f04a2645bb0004d7,1.0
f80cce6288455bbea96596ab57b522c8,p2,ebffaedfc7c118b8f04a2645bb0004d7,1.0
7a729f0a762abddf7f0274764b75712a,p2,b53f1c413af3b16444bf2caa39d7772c,1.0
e19c091631fb74c1f6c0b91ff63dea01,p2,b073ce290ba4c8b481ab5396fbbd0b56,1.0
869d53bb2e5748b5b13873c409284616,p2,b073ce290ba4c8b481ab5396fbbd0b56,1.0
b3088d855e7e6760096709a182f82adf,p2,b073ce290ba4c8b481ab5396fbbd0b56,1.0
7bbab18cf6c969f789545d708704161c,p2,d31d65fc0ad82e234f7e2abc0eb8e602,1.0
cc3eae72eb9a20ee5695a3756661f98d,p2,d31d65fc0ad82e234f7e2abc0eb8e602,1.0
75dc480cab983c6ab7c3cd2814384e6f,p2,8c7c66e32e33758bb9495e926a5b470a,1.0
61d6315d9a2da1b2b668c8f95ad56338,p2,99c206594a930436cd89095fd3da509b,1.0
4d37fdd1e3102240675ccd4b22fc23b8,p2,d31d65fc0ad82e234f7e2abc0eb8e602,1.0
5ea8b3ba04c2848f52ab5e20d54658de,p2,9225e6998e3f3e471738068eb6705d8f,1.0
944094de5c91980a3cc9c61e9f807f34,p2,004750a4169a5f0e34ec1d839933c643,1.0
cf595d4848c64f438f219904e50d1d30,p2,7bc4500354e20f2b7ff46078e9ff7421,1.0
93715d8aaad56d3f44c53a031b06625c,p2,d2b04c9628d67287cbaff74c44150e21,1.0
9188c2f8139c37ec848a4c4f21604600,p2,9225e6998e3f3e471738068eb6705d8f,1.0
34b3ae81969a20817a7631d7b174a879,p3,70e5fe9bd0272f4d230d7ff9809af78f,1.0
950f78f6407d1bea426b9379e651ae85,p3,70e5fe9bd0272f4d230d7ff9809af78f,1.0
f2819fe15e5435423fa921eb76981387,p3,ec1fd7d7c07fc4e6f82287e4b6aeea4a,1.0
1ef0d181ec48ebde0655303e2ea9dd1b,p3,70e5fe9bd0272f4d230d7ff9809af78f,1.0
f80cce6288455bbea96596ab57b522c8,p3,70e5fe9bd0272f4d230d7ff9809af78f,1.0
7a729f0a762abddf7f0274764b75712a,p3,649b347a59aae206c066a03f61b38558,1.0
e19c091631fb74c1f6c0b91ff63dea01,p3,649b347a59aae206c066a03f61b38558,1.0
869d53bb2e5748b5b13873c409284616,p3,649b347a59aae206c066a03f61b38558,1.0
b3088d855e7e6760096709a182f82adf,p3,e71c15e0601924cd845eb5d536750845,1.0
7bbab18cf6c969f789545d708704161c,p3,40dba1142f49bcf3316b53711737d000,1.0
cc3eae72eb9a20ee5695a3756661f98d,p3,ab05c3f37f8b6b24de62c58486d48f07,1.0
75dc480cab983c6ab7c3cd2814384e6f,p3,a2c317eceb38acce16dd5df66f85c493,1.0
61d6315d9a2da1b2b668c8f95ad56338,p3,28756fd54bb83d51e822d7d56e8ce499,1.0
4d37fdd1e3102240675ccd4b22fc23b8,p3,c4addab5946a71d7ad85c0c33315b9a2,1.0
5ea8b3ba04c2848f52ab5e20d54658de,p3,70c87040d2f34c398d28496d72674316,1.0
944094de5c91980a3cc9c61e9f807f34,p3,098d2edb47fd2203632d16f7e8079890,1.0
cf595d4848c64f438f219904e50d1d30,p3,190ba35e34bd5ae949419559f33ed4f2,1.0
93715d8aaad56d3f44c53a031b06625c,p3,d58c745af16468a8fe69f1f6ac1bd6af,1.0
9188c2f8139c37ec848a4c4f21604600,p3,098d2edb47fd2203632d16f7e8079890,1.0
